Ocean/Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Pacific Ocean,05-Mar-1986,Learjet 35,N39DM,Flight International,2,near San Clemente...,A1
North Pole,03-Nov-1952,Douglas C-47A (DC-3),43-15665,USAF,0,Fletcher's I...,A1
Pacific Ocean,12-May-1944,Consolidated PBY-5A Catalina,7301,US Navy,,"near San Diego, C...",A1
Antarctica,26-Nov-1993,Douglas C-118B (DC-6),N1597F,Allcair Air Transport,0,Patriot Hills,A1
Unknown country,17-Sep-1945,Curtiss C-46D,44-78248,USAAF,,,A1
Pacific Ocean,19-Mar-1945,Douglas R4D-6 (DC-3),50770,US Navy,17,,A1
Unknown country,10-Jan-1987,Antonov An-2,R109,Angolan AF,,,U1
Antarctica,??-JAN-1968,Douglas LC-117D,99853,US Navy,0,Williams Field,O1
Unknown country,29-Sep-1945,Douglas C-47A (DC-3),42-92923,USAAF,,unknown,A1
Unknown country,date unk.,BN-2A-21 Islander,5T-MAA,Mauritanian AF,,,U1
Pacific Ocean,10-Jun-1961,Douglas C-133A Cargomaster,57-1614,USAF,8,near Tachikawa AB...,A1
Pacific Ocean,17-Jan-1944,Consolidated PBY-5A Catalina,34018,US Navy,8,"near Adak, AK",A1
Unknown country,21-Sep-1945,Curtiss C-46D,44-77795,USAAF,,,A1
Pacific Ocean,02-Oct-1969,Grumman C-2A Greyhound,152796,US Navy,27,"near Dong Hoi, Vi...",A1
Unknown country,12-May-1947,Douglas R4D-1 (DC-3),37680,US Navy,,unknown,U1
Unknown country,??-???-1942,Junkers Ju-52/3mg4e,D-ASLG,German AF,,,A1
Pacific Ocean,18-Jun-1991,Grumman HU-16E Albatross,N7029C,Pacific Flying Fish,0,between Sant...,A1
Unknown country,07-Mar-1974,Douglas DC-3,959,Chilean AF,,unknown,U1
Unknown country,23-Jan-1945,Douglas C-47A (DC-3),43-15244,USAAF,,unknown,A1
Antarctica,23-Jan-2013,DHC-6 Twin Otter 300,C-GKBC,Kenn Borek Air,3,Mount Elizabeth,A1
Unknown country,20-Jun-1960,CASA 352 (Ju-52),T.2B-252,Spanish AF,,,U1
Unknown country,20-Oct-1943,Curtiss C-46A,41-24667,USAAF,0,,A1
Unknown country,21-Jun-1945,Douglas C-47A (DC-3),42-93233,USAAF,,unknown,A1
Pacific Ocean,09-Nov-1955,Fairchild C-119G Flying Boxcar,52-5891,USAF,1,"near Hickam AFB, ...",A1
Unknown country,01-Jun-1950,Douglas Dakota IV (DC-3),KN679,RAF,,,A1
Unknown country,01-Nov-1963,Douglas C-47D (DC-3),43-48294,USAF,,,A1
Unknown country,23-Feb-1966,Douglas C-47D (DC-3),43-48297,USAF,,,A1
Unknown country,11-Aug-1951,Douglas C-47D (DC-3),43-49561,USAF,,,A1
Unknown country,03-Jan-1944,Douglas C-47A (DC-3),42-24399,USAAF,,unknown,A1
Unknown country,25-Oct-1945,Curtiss C-46D,44-77568,USAAF,,,A1
Unknown country,23-Aug-1945,Douglas C-47A (DC-3),42-93229,USAAF,,unknown,A1
Antarctica,25-Feb-1992,CASA CN-235M-100,E-217,Chilean Army,0,Teniente R. ...,A1
Atlantic Ocean,24-May-1944,Short Sunderland III,DV990,"RAF, op.for RCAF",12,near Kristiansund...,C1
Unknown country,31-Jan-1946,Douglas C-47B (DC-3),43-16243,USAAF,,unknown,A1
Mediterranean Sea,25-Jul-1942,Short Sunderland I,L5806,RAF,,near Egyptian coast,A1
Atlantic Ocean,11-Nov-1961,Lockheed L-749A Constellation,HH-ABA,Air Haiti Int.,3,near Puerto Rico ...,A1
Unknown country,27-Feb-1945,Douglas C-47A (DC-3),42-93444,USAAF,,Unknown,A1
Unknown country,06-Nov-1943,Douglas C-47A (DC-3),42-23869,USAAF,,unknown,A1
Unknown country,05-Jan-1945,Douglas C-47A (DC-3),42-100830,USAAF,,Unknown,A1
Atlantic Ocean,22-Nov-1943,Consolidated Catalina,FP240,RAF,10,Atlantic Ocean,A1
Unknown country,30-Nov-1945,Douglas C-47A (DC-3),96,CNAC,,unknown,A1
Atlantic Ocean,06-Jul-2001,Cessna 208B Grand Caravan,N812MA,Maxfly Aviation,0,near Fort Lauderd...,A1
Atlantic Ocean,09-May-1957,Boeing KC-97F Stratofreighter,51-0258,USAF,0,near Azores Islands,A1
Unknown country,??-???-1942,Junkers Ju-52/3mge4,D-AGEP,German AF,,,A1
Atlantic Ocean,21-Sep-1978,Douglas DC-3-277C,N407D,Argosy Air Lines,4,"near Havana, Cuba",A1
Unknown country,08-Dec-1944,Douglas C-47A (DC-3),42-92044,USAAF,,unknown,A1
Atlantic Ocean,02-Jun-1981,BN-2A-7 Islander,N28377,Pinders,0,"near Nassau, Bahamas",A1
North Pole,01-May-1974,Antonov An-12B,CCCP-12950,"Aeroflot, Krasnoyarsk",1,Polar Statio...,A1
Pacific Ocean,01-Sep-1983,Boeing 747-230B,HL7442,KAL,269,near Sakhalinsk [...,C1
Unknown country,11-Apr-1945,Curtiss C-46D,44-77641,USAAF,,,A1
Antarctica,04-Jan-1959,UC-1 Otter (DHC-3),144673,US Navy,2,Marble Point,A1
Unknown country,11-Aug-1945,Curtiss C-46D,44-77478,USAAF,,,A1
Unknown country,30-Jun-1944,Consolidated PBY-5A Catalina,33980,US Navy,,,A1
Antarctica,12-Dec-1999,DHC-6 Twin Otter 300,C-GKBG,Kenn Borek Air,0,near McMurdo Station,A2
Atlantic Ocean,18-Sep-1944,Douglas C-47A (DC-3),43-15139,USAAF,0,near Dutch coast ...,C1
Indian Ocean,27-Sep-1953,Grumman SA-16B Albatross,51-7149,USAF,4,"near Jask, Iran [...",A1
Unknown country,08-Sep-1943,Douglas C-47A (DC-3),42-23885,USAAF,,unknown,A1
Unknown country,21-Oct-1944,Douglas C-47A (DC-3),43-16030,USAAF,,unknown,A1
Atlantic Ocean,11-Jan-1955,Avro Shackleton MR.2,WG531,RAF,9,near Fastnet Rock...,A1
Unknown country,05-Nov-1943,Curtiss C-46A,41-12322,USAAF,0,between Moha...,A1
Unknown country,30-Sep-1988,Antonov An-2R,YR-PVS,Aviatia Utilitara,,,A1
Unknown country,21-Sep-1945,Douglas C-47A (DC-3),42-93769,USAAF,,unknown,A1
Unknown country,10-Aug-1945,Curtiss C-46D,44-78204,USAAF,,,A1
Unknown country,04-Mar-1945,Curtiss C-46D,44-77411,USAAF,,,U1
Unknown country,04-Dec-1943,Douglas C-47 (DC-3),41-7854,USAAF,,unknown,A1
Antarctica,17-Feb-1986,Ilyushin Il-14M,CCCP-41816,"Aeroflot, Central Region",6,Philippi Gla...,A1
Unknown country,29-Apr-1944,Curtiss C-46A,41-24723,USAAF,,,U1
Atlantic Ocean,02-Feb-1953,Avro 685 York I,G-AHFA,Skyways,39,"near Newfoudland,...",A1
Unknown country,31-Dec-1965,unknown,,Aeroflot,1,,H2
Unknown country,??-???-1969,Douglas C-47B (DC-3),HZ-AAR,Saudi Arabian,,unknown,A1
Unknown country,01-Nov-1956,Bristol 170 Freighter 31M,S4413,Pakistan AF,,,U1
Pacific Ocean,03-Jun-1963,Douglas DC-7CF,N290,Northwest Orient Airlines,101,near Annette Isla...,A1
Unknown country,date unk.,BN-2B-21 Islander,SAF001,Surinam Air Force,,,U1
Unknown country,27-Jan-1962,CASA 352 (Ju-52),T.2B-258,Spanish AF,,,U1
Unknown country,13-Jul-1945,Curtiss C-46D,44-78252,USAAF,,,A1
Atlantic Ocean,07-Jul-1979,Howard 500,N721N,Aggadir,0,near Aruba [Carib...,A1
Unknown country,31-Jan-1946,Douglas C-47B (DC-3),44-76436,USAAF,,unknown,A1
Unknown country,23-Sep-1997,Antonov An-2R,Z3-BGI,Boniair,,,A1
Antarctica,02-Jan-1979,Ilyushin Il-14FKM,CCCP-04193,"Aeroflot, Central Region",3,Molodezhnaya,A1
Unknown country,05-Oct-1944,Douglas C-47 (DC-3),41-18445,USAAF,,unknown,A1
Pacific Ocean,24-Feb-1989,Boeing 747-122,N4713U,United Airlines,9,near Hawaii,A2
Antarctica,13-Mar-1963,Antonov An-6,CCCP-04342,Polyarnaya Aviatsiya,0,near Richardson L...,O1
Pacific Ocean,22-Mar-1957,Boeing C-97C Stratofreighter,50-702,USAF,67,"near Tokyo, Japan",A1
Mediterranean Sea,13-Nov-1942,Junkers Ju-52/3m,G6+FN,German AF,2,between Tuni...,C1
Unknown country,27-Jul-1952,CASA 352 (Ju-52),T.2-175,Spanish AF,,,U1
Unknown country,06-Nov-1986,Cessna 551 Citation II/SP,N711WM,Barbary Coast Hotel & Casino,,,U1
Unknown country,20-May-1944,Consolidated PBY-5 Catalina,8505,US Navy,,,A1
Unknown country,27-Jul-1954,Douglas VC-47D (DC-3),43-49515,USAF,,,A1
Unknown country,24-Apr-1945,Douglas C-47B (DC-3),43-16225,USAAF,,unknown,A1
Antarctica,24-Nov-1994,DHC-6 Twin Otter 300,C-GKBD,Kenn Borek Air,4,Rothera Rese...,A1
Unknown country,14-Sep-1944,Consolidated PBY-5A Catalina,2460,US Navy,,,A1
Atlantic Ocean,25-Mar-1944,Douglas C-54A (DC-4),41-37274,USAAF,6,near Azores,C1
Unknown country,04-Dec-1945,Douglas C-47B (DC-3),43-49262,USAAF,17,,A1
Unknown country,03-Sep-1945,Douglas C-47A (DC-3),42-93301,USAAF,,unknown,A1
Unknown country,03-Oct-1944,Douglas C-47A (DC-3),42-100541,USAAF,,Unknown,A1
Antarctica,10-Feb-1956,UC-1 Otter (DHC-3),144259,US Navy,0,Little Ameri...,O1
Unknown country,28-Jan-1943,Consolidated PBY-5A Catalina,2965,US Navy,,,A1
Unknown country,??-???-1942,Junkers Ju-52/3m,D-AHFN,German AF,,,A1
Unknown country,21-Oct-1944,Douglas C-47 (DC-3),41-18533,USAAF,,unknown,A1
Atlantic Ocean,11-Nov-1942,Douglas C-47 (DC-3),41-18353,USAAF,0,"near Lisbon, Port...",A1
Antarctica,13-Mar-1963,Antonov An-6,CCCP-98341,"Aeroflot, Polar",0,near Richardson L...,O1
Atlantic Ocean,13-Sep-1997,Tupolev Tu-154M,11+02,German AF,24,near Namibia,A1
Unknown country,??-???-1972,Grumman HU-16B Albatross,533,Argentine Navy,0,,A1
Unknown country,04-Jan-1945,Curtiss C-46A,42-96780,USAAF,,,A1
Pacific Ocean,26-Feb-1947,Douglas Dakota IV (DC-3),KK120,RAF,12,China Sea,A1
Indian Ocean,01-Mar-1940,Handley Page HP.42E,G-AAGX,Imperial Airways,8,"near Dibba, Oman ...",A1
Unknown country,29-Apr-1945,Curtiss C-46A,42-101119,USAAF,3,between Chan...,A1
Antarctica,09-Dec-1987,Lockheed LC-130R Hercules,159131,US Navy,2,D-59 Station,A1
Pacific Ocean,30-Aug-1950,Douglas Dakota IV (DC-3),KN240,RAF,9,near Jemaja Islan...,A1
Indian Ocean,24-Mar-2015,Dornier 228-201,IN240,Indian Navy,2,"near Goa, India",A1
Pacific Ocean,06-Feb-1968,Lockheed P-3B Orion,153440,US Navy,12,near Phu Quoc Isl...,A1
Unknown country,27-Sep-1944,Curtiss C-46A,41-12320,USAAF,,,U1
Unknown country,02-Nov-1943,Curtiss C-46A,41-24666,USAAF,0,between Chab...,A1
Unknown country,13-Jun-1942,Lisunov PS-84,CCCP-L3961,Aeroflot,0,Zuts,A1
Unknown country,10-Oct-1957,Douglas C-47A (DC-3),43-48006,USAF,,unknown,A1
Pacific Ocean,30-Apr-1944,Consolidated PBY-5 Catalina,8431,US Navy,3,South Pacific,A1
Atlantic Ocean,08-Jan-1996,BN-2A-27 Islander,J8-VAK,Mustique Airways,1,"near Bridgetown, ...",A1
Indian Ocean,18-Oct-1985,Lockheed L-1011 TriStar 500,JY-AGE,Alia,0,near Singapore,A2
Atlantic Ocean,02-Oct-1943,Consolidated PBY-5A Catalina,5013,US Navy,9,Gulf of Mexico,A1
Unknown country,28-Sep-1943,Curtiss C-46A,41-24644,USAAF,,,U1
Atlantic Ocean,21-Dec-1960,Lockheed P2V Neptune,,US Navy,9,near Newfoundland...,A1
Unknown country,31-May-1944,Curtiss C-46A,42-60951,USAAF,,,U1
Pacific Ocean,20-Dec-2007,Cessna 208B Grand Caravan,N954PA,Agape Flights,0,"near Chub Cay, Ba...",A1
Atlantic Ocean,02-Sep-1986,BN-2A Trislander Mk.III-1,G-BCCU,Kondair,0,near North Sea,A2
Mediterranean Sea,??-???-1946,Lockheed C-69 Constellation,43-10314,USAAF,,near France,A1
Pacific Ocean,09-Dec-1958,Avro Shackleton MR.1,VP254,RAF,10,"near Labuan, Mala...",A1
Unknown country,06-Jul-1968,CASA 352 (Ju-52),T.2B-158,Spanish AF,,,U1
Unknown country,??-???-1980,DHC-6 Twin Otter 300,FAP-313,Peruvian AF,,,A1
Unknown country,02-Feb-1944,Curtiss C-46A,41-12395,USAAF,,,U1
Unknown country,21-Jan-1965,Douglas C-47A (DC-3),42-108889,USAF,,unknown,A1
Unknown country,22-Aug-1971,Ilyushin Il-18,,UAA,0,,H2
Unknown country,02-Jul-1956,U-1B Otter (DHC-3),144261,US Navy,,,A1
Unknown country,11-Apr-1945,Curtiss C-46D,44-77768,USAAF,,,A1
Unknown country,??-NOV-1959,Bristol 170 Freighter 21P,G778,Pakistan AF,,,A1
Unknown country,02-Aug-1945,Douglas C-47A (DC-3),42-23862,USAAF,,unknown,A1
Pacific Ocean,16-Oct-1956,Boeing 377 Stratocruiser,N90943,Pan Am,0,near San Francisc...,A1
Unknown country,04-Mar-1945,Short Sunderland III,PP138,RAAF,0,unknown,A1
Atlantic Ocean,23-Jun-1985,Boeing 747-237B,VT-EFO,Air-India,329,"near Cork, Ireland",C1
Atlantic Ocean,05-May-1943,Consolidated PBY-3 Catalina,891,US Navy,3,near NAS Corpus C...,A1
Unknown country,13-Apr-1945,Curtiss C-46A,41-24757,USAAF,,,U1
Antarctica,16-Feb-1958,Lisunov Li-2V,CCCP-N502,Polyarnaya Aviatsiya,,Mirny Ice St...,A1
Atlantic Ocean,27-Feb-1953,Lockheed P2V-2 Neptune,39357,US Navy,0,near Station Echo,A1
Unknown country,17-Dec-1944,Junkers Ju-52/3mg8e,G6+MU,German AF,4,,A1
Unknown country,08-Apr-1972,Boeing 727,,Faucett Perú,0,,H2
Unknown country,??-MAY-1958,Antonov An-2,CCCP-H542,Aeroflot,,,O1
Pacific Ocean,05-Jun-1943,Consolidated PBY-5 Catalina,NZ4006,New Zealand AF,15,near Fiji,A1
Unknown country,19-Sep-1943,Douglas C-47A (DC-3),42-24188,USAAF,,unknown,A1
Atlantic Ocean,22-Sep-1963,Douglas C-133A Cargomaster,56-2002,USAF,10,"near Cape May, NJ...",A1
Unknown country,06-Apr-1945,Curtiss C-46A,42-96697,USAAF,,,A1
Atlantic Ocean,28-Mar-1942,Consolidated PBY-5A Catalina,2462,US Navy,,near Iceland,A1
Atlantic Ocean,20-Feb-1958,Lockheed WV-2 Super Constellation,141310,US Navy,22,near Ilha do Corv...,A1
Unknown country,17-Sep-1944,Curtiss C-46A,42-61067,USAAF,,,A1
Unknown country,07-Mar-1956,Lisunov Li-2,CCCP-71289,"Aeroflot, Syktyvkar",,,A1
Pacific Ocean,24-Apr-1992,Lockheed C-130H Hercules,67-7183,USAF,1,near Peruvian coast,C1
Unknown country,07-Apr-1944,Curtiss C-46,41-5174,USAAF,,,U1
Unknown country,21-Jul-1945,Douglas C-47A (DC-3),43-15234,USAAF,,unknown,A1
Atlantic Ocean,02-May-1970,DC-9-33CF,N935F,"ONA, op.for ALM",23,"near St. Croix, V...",A1
Unknown country,02-Jun-1946,Douglas Dakota IV (DC-3),KJ968,RAF,,unknown,A1
Unknown country,??-???-1961,Bristol 170 Freighter 31M,S4415,Pakistan AF,,,A1
Pacific Ocean,25-Nov-1945,Douglas C-47B (DC-3),43-16332,USAAF,,unknown,A1
Unknown country,??-???-1940,Dewoitine D.338,F-AQBH,Air France,,Indochina,A1
Pacific Ocean,28-Apr-2015,ShinMaywa US-2,9905,Japanese Navy,0,near Ashizuri Cap...,A2
Unknown country,29-May-1945,Curtiss C-46D,44-77366,USAAF,,,A1
Pacific Ocean,02-Apr-1944,Douglas C-47A (DC-3),42-92815,USAAF,5,Pacific Ocean,A1
Unknown country,05-Apr-1945,Curtiss C-46A,43-47213,USAAF,,,A1
Unknown country,27-May-1945,Curtiss C-46D,44-77330,USAAF,,,A1
Antarctica,03-Feb-1956,UC-1 Otter (DHC-3),144260,US Navy,0,Edward VII P...,A1
Pacific Ocean,11-Dec-1945,Douglas C-47A (DC-3),43-15423,USAAF,4,between Tach...,A1
Unknown country,14-Dec-1987,Antonov An-32,D2-FA.,Angolan AF,,,U1
Atlantic Ocean,09-Mar-1969,Douglas DC-4,N3821,Continental Air Transport,3,Atlantic Ocean,A1
Unknown country,22-Aug-1961,PBV-1A Canso A (PBY-5A),VT-DID,Airways (India),,,A1
Unknown country,26-Nov-1944,Douglas C-47A (DC-3),42-24373,USAAF,,unknown,A1
Atlantic Ocean,11-Jun-1943,Consolidated PBY-5A Catalina,7273,US Navy,8,North Atlant...,A1
Atlantic Ocean,17-Nov-1972,Douglas C-47A (DC-3),CF-FOL,S & H Aviation Sales,3,"near St. Johns, N...",A1
Unknown country,20-Nov-1971,Fairchild C-119G Flying Boxcar,3124,Republic of China AF,,Hualien Air ...,A1
Unknown country,??-FEB-1960,Douglas C-47A (DC-3),AN-ADQ,LANICA,,,U1
Unknown country,30-Apr-1943,Consolidated PBY-5 Catalina,8229,US Navy,,,A1
Unknown country,09-Feb-1945,Curtiss C-46A,42-101152,USAAF,,,A1
Unknown country,24-Mar-1945,Douglas C-47A (DC-3),42-24335,USAAF,,unknown,C1
Pacific Ocean,04-Jan-1946,Douglas Dakota IV (DC-3),KN363,RAF,3,near Hainan Islan...,A1
Unknown country,21-Aug-1945,Douglas C-47A (DC-3),43-15478,USAAF,,Unknown,A1
Atlantic Ocean,13-Jun-1943,Consolidated Catalina,FP232,RAF,10,Bay of Biscay,A1
Unknown country,10-Apr-1945,Curtiss C-46A,42-60950,USAAF,,,A1
Unknown country,26-Mar-1945,Douglas C-47A (DC-3),42-24392,USAAF,,unknown,U1
Pacific Ocean,02-Dec-1994,BN-2B-20 Islander,N16VM,"Trans Island Air, op.for Southern Cross Aviation",0,"near Majuro, Mars...",A1
Atlantic Ocean,02-Oct-1971,Douglas DC-3A-228C,N1981W,Island Gem Enterprises,0,near Sint Maarten...,A1
Unknown country,24-Dec-1945,Douglas C-47A (DC-3),Q-1,Dutch Navy,,,A1
Pacific Ocean,26-Mar-1955,Boeing 377 Stratocruiser,N1032V,Pan Am,4,"near Oregon, USA",A1
Unknown country,25-Sep-1944,Curtiss C-46A,42-107383,USAAF,3,between Chen...,A1
Unknown country,13-May-1944,Curtiss C-46A,42-3607,USAAF,,,A1
Atlantic Ocean,17-Jan-1949,Avro 688 Tudor 4B,G-AGRE,BSAA,20,western Atla...,A1
Unknown country,31-May-1963,Douglas C-47A (DC-3),42-23351,USAF,,unknown,O1
Mediterranean Sea,12-Sep-1951,Douglas DC-3,F-BEIZ,STAAP,39,"near Palma, Islas...",A1
Unknown country,23-Sep-1942,Douglas C-53-DO (DC-3),41-20112,USAAF,,between Kunm...,A1
Pacific Ocean,15-Dec-1970,Grumman C-2A Greyhound,155120,US Navy,9,"near Da Nang, Vie...",A1
Unknown country,16-Oct-1945,Douglas C-47 (DC-3),41-38664,USAAF,,unknown,A1
North Pole,03-Apr-2015,Antonov An-74-200,RA-74056,ShAR,0,Barneo Camp ...,A1
Pacific Ocean,24-Nov-1944,Curtiss C-46D,42-101046,USAAF,6,South West P...,A1
Unknown country,??-???-1965,DH-114 Heron 2D,CR802,Ceylon AF,,,U1
Unknown country,11-Apr-1945,Curtiss C-46A,41-24730,USAAF,,,A1
Pacific Ocean,05-Mar-1943,Consolidated PBY-5 Catalina,2334,US Navy,8,Pacific,A1
Atlantic Ocean,14-Aug-1944,Douglas Dakota III (DC-3),KG784,RAF,,"near Natal, RN, B...",A1
Unknown country,02-Mar-1945,Curtiss C-46A,43-47154,USAAF,,,A1
Unknown country,22-Sep-1954,Douglas C-47A (DC-3),348061/FRAZM,French AF,,,U1
Unknown country,05-Mar-1945,Curtiss C-46D,42-96784,USAAF,,,A1
Antarctica,18-Nov-1981,DHC-6 Twin Otter 300,VP-FAW,British Antarctic Survey,0,Rothera Station,O1
Atlantic Ocean,03-Aug-1943,Consolidated Catalina,FP114,RAF,8,Atlantic Ocean,A1
Unknown country,04-Oct-1955,Douglas C-47D (DC-3),44-76445,USAF,,,A1
Atlantic Ocean,26-Jan-1961,Douglas C-118A (DC-6),51-17626,USAF,23,Atlantic Ocean,A1
Unknown country,01-Feb-1944,Curtiss C-46A,41-24658,USAAF,,,U1
Atlantic Ocean,20-Nov-1943,Short Sunderland III,W6031,"RAF, op.for RCAF",11,"near Vigo, Spain",C1
Unknown country,??-???-1943,Junkers Ju-52/3m,D-ADHF,German AF,,,A1
Unknown country,12-Nov-1976,Douglas C-47 (DC-3),BJ922,Indian AF,,,A1
Unknown country,14-Aug-1998,Antonov An-2R,RA-40681,Polyarnye Avialinii,,,A1
Atlantic Ocean,16-Nov-1959,Douglas DC-7B,N4891C,"Delta Air Lines, op.for National Airlines",42,"near Pilottown, L...",A1
Atlantic Ocean,14-Sep-1955,Curtiss C-46,YV-C-EVL,AVENSA,4,Gulf of Vene...,A1
Unknown country,14-Oct-1945,Curtiss C-46D,44-77380,USAAF,,,A1
Atlantic Ocean,24-Sep-1942,Short S.30 Empire Flying Boat,G-AFCZ,BOAC,19,"near M'bour, Senegal",A1
Unknown country,31-Jan-1946,Curtiss C-46D,44-78082,USAAF,,,A1
Unknown country,??-???-1945,Douglas C-47A (DC-3),42-92029,USAAF,,unknown,A1
Atlantic Ocean,15-Oct-1944,Consolidated PBY-5A Catalina,34013,US Navy,7,within Atlantic Ocean,A1
Unknown country,13-Sep-1949,Douglas Dakota IV (DC-3),KN323,RAF,,unknown,A1
Atlantic Ocean,28-Apr-1941,Short Sunderland III,T9075,RAAF,6,Iris Sea,A1
Pacific Ocean,17-Dec-1942,Consolidated PBY-5 Catalina,8135,US Navy,7,Pacific Ocean,A1
Unknown country,01-Aug-1944,Douglas C-47A (DC-3),42-93501,USAAF,,unknown,A1
Pacific Ocean,13-Jun-1942,Consolidated PBY-3 Catalina,879,US Navy,,near Corpus Chris...,A1
Unknown country,11-Dec-1946,Douglas C-47B (DC-3),43-16322,USAAF,,unknown,A1
North Pole,27-Mar-1952,Douglas R4D-5 (DC-3),12417,US Navy,0,near Point Barrow...,A2
Unknown country,??-???-1976,Douglas DC-3C,CF-DXO,Kenting Aviation,,unknown,U1
Atlantic Ocean,23-Apr-1948,Lockheed P2V-2 Neptune,39325,US Navy,0,near Quonset Poin...,A1
Atlantic Ocean,13-Jul-1953,Martin P5M-1 Marlin,126503,US Navy,7,"near Cape Henry, ...",A1
Unknown country,23-Jun-1945,Curtiss C-46D,44-78132,USAAF,,,A1
Pacific Ocean,12-Jul-1988,Rockwell CT-39E Sabreliner,158381,US Navy,0,near Spratly Isla...,A1
Atlantic Ocean,27-Feb-2003,Concorde 101,F-BVFA,Air France,0,near Atlantic Ocean,A2
Unknown country,11-Mar-1945,Douglas C-47A (DC-3),43-48253,USAAF,,unknown,A1
Unknown country,01-Jul-1943,Curtiss C-46A,41-12298,USAAF,5,between Tezp...,A1
Unknown country,03-Apr-1944,Consolidated PBY-5 Catalina,8339,US Navy,,,A1
Unknown country,17-Dec-1944,Junkers Ju-52/3mg8e,G6+EV,German AF,4,,A1
Unknown country,02-Jul-1943,Curtiss C-46A,41-5168,USAAF,,Indochina,A1
Unknown country,25-Sep-1945,Curtiss C-46D,44-77771,USAAF,,,A1
Indian Ocean,21-May-1944,Consolidated PBY-5A Catalina,A24-73,RAAF,9,Java Sea,A1
Antarctica,09-Nov-1961,Lockheed P2V-7LP Neptune,140439,US Navy,5,Wilkins Station,A1
Indian Ocean,02-Jul-1980,Douglas C-47 (DC-3),,Thai Navy,2,near Prachuap Khi...,A1
Atlantic Ocean,26-Jul-1944,Douglas C-54A (DC-4),42-107470,USAAF,26,near Greenland,A1
Unknown country,13-Sep-1945,Douglas C-47A (DC-3),43-15492,USAAF,,Unknown *,A1
Unknown country,28-Mar-1945,Curtiss C-46D,44-77556,USAAF,,,A1
Unknown country,25-Dec-1944,Curtiss C-46D,42-101139,USAAF,,,A1
Unknown country,date unk.,Douglas C-47D (DC-3),43-49023,USAAF,,Unknown,U1
Atlantic Ocean,15-Apr-1944,Douglas C-47A (DC-3),42-92848,USAAF,,near Ascension,A1
Pacific Ocean,08-Sep-1944,Consolidated PBY-5 Catalina,8244,US Navy,,South Pacific,A1
Unknown country,11-Feb-1945,Douglas C-47A (DC-3),42-93729,USAAF,,unknown,A1
Unknown country,02-Jun-1944,Douglas C-47A (DC-3),42-23306,USAAF,,unknown,U1
Unknown country,30-Sep-1984,Antonov An-26,T-212,Angolan AF,,,A1
Antarctica,06-Dec-2006,Antonov An-2,RA-01146,ALCI,0,Novolazarevs...,O1
Unknown country,20-Oct-1945,Curtiss C-46D,44-77386,USAAF,,,A1
Mediterranean Sea,27-Nov-1940,SNCAC (Farman) NC.223.4,F-AROA,Air France,7,near Cape Spartiv...,C1
Unknown country,27-Jul-1945,Douglas C-47A (DC-3),42-92681,USAAF,,unknown,A1
Pacific Ocean,26-Sep-1945,Curtiss C-46D,44-78352,USAAF,,South West P...,A1
Unknown country,21-Jan-1945,Douglas C-47A (DC-3),42-93483,USAAF,,unknown,A1
Antarctica,06-Oct-1965,Douglas LC-47H,17239,US Navy,0,near McMurdo Stat...,A1
Unknown country,02-Jan-1953,Lockheed P2V-5 Neptune,124886,US Navy,,,A1
Atlantic Ocean,04-May-1955,Boeing KC-97G Stratofreighter,53-0110,USAF,9,near Keflavík Int...,A1
Unknown country,10-Apr-1943,Savoia-Marchetti SM-75 bis,I-BONI,LATI,3,,C1
Pacific Ocean,30-Jan-1979,Boeing 707-323C,PP-VLU,Varig,6,"near Tokyo, Japan",A1
Unknown country,07-Jan-1943,Douglas C-47 (DC-3),41-18432,USAAF,,unknown,A1
Unknown country,20-May-1943,Curtiss C-46A,41-12317,USAAF,,,U1
Unknown country,08-Apr-1945,Douglas C-47A (DC-3),42-100607,USAAF,,Unknown,A1
Unknown country,06-May-1969,Douglas DC-3C,PP-SPY,VASP,,unknown,A1
Mediterranean Sea,15-Jan-1953,Vickers Valetta C.1,VX562,RAF,19,"near Agrigento, I...",A1
Unknown country,14-Feb-1952,Douglas C-47D (DC-3),45-1078,USAF,,unknown,A1
Unknown country,03-Apr-1944,Curtiss R5C-1 (C-46A),39501,US Navy,,,A1
Atlantic Ocean,13-Jun-1952,Douglas Tp 79 (C-47-DL),79001,Swedish AF,8,near Gotska Sandö...,C1
Unknown country,date unk.,BN-2A-8 Islander,F-OBSN,Bordeaux Aviation,,,U1
Pacific Ocean,01-Jan-1943,Consolidated PBY-5 Catalina,4502,US Navy,3,South Pacific,A1
Unknown country,04-Jul-1945,Curtiss C-46D,44-77755,USAAF,,,A1
Pacific Ocean,12-Mar-1945,Curtiss C-46D,42-101207,USAAF,,South West P...,A1
Unknown country,29-Jul-1964,Douglas C-47D (DC-3),43-49253,USAF,,,A1
Unknown country,26-Mar-1945,Curtiss C-46D,44-77472,USAAF,,,A1
Unknown country,15-Aug-1944,DH.86B Express,A31-1,RAAF,0,,A1
Unknown country,??-???-1948,Curtiss C-46A,C-66,L.A. Transatlantica Colombia,,,U1
Atlantic Ocean,01-Jun-2009,Airbus A330-203,F-GZCP,Air France,228,near São Pedro an...,A1
Unknown country,11-Dec-1955,Vickers Valetta C.1,VW151,RAF,,,A1
Unknown country,25-Mar-1945,Curtiss C-46D,44-77404,USAAF,,,U1
