Ocean/Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Unknown country,02-Feb-1945,Curtiss C-46D,44-77339,USAAF,,,A1
Atlantic Ocean,28-May-1943,Short Sunderland Mk III,JM675,RAAF,1,Bay of Bisca...,A1
Unknown country,15-May-1944,Consolidated C-87,43-30593,USAAF,4,,A1
Unknown country,??-JUL-1977,BN-2A-7 Islander,C-FAZM,Peace Air,,,U1
Unknown country,02-Oct-1958,Curtiss C-46,199,Republic of China AF,,Kinmen,C1
Pacific Ocean,26-Dec-1951,Lockheed P2V-3 Neptune,122972,US Navy,2,"near Kosing, Nort...",A1
Mediterranean Sea,15-Nov-1942,Savoia-Marchetti SM-75C,I-TELO,LATI,4,between Tuni...,C1
Unknown country,30-Jan-1944,Curtiss C-46A,41-12413,USAAF,0,between Chab...,A1
Unknown country,05-Sep-1944,Curtiss C-46A,41-24643,USAAF,,,U1
Unknown country,27-Jul-1967,Douglas C-47A (DC-3),BJ497,Indian AF,,,U1
Pacific Ocean,28-Jul-2011,Boeing 747-48EF,HL7604,Asiana Airlines,2,"near Jeju, South ...",A1
Mediterranean Sea,05-Nov-1978,Douglas C-47B (DC-3),SU-AZM,Nile Delta Air Services,17,"near Alexandria, ...",A1
Pacific Ocean,24-Sep-1947,Douglas C-54 (DC-4),,USAAF,0,near Guam,A1
Unknown country,18-Apr-1951,CASA 352 (Ju-52),T.2-141,Spanish AF,,,U1
Unknown country,19-Jan-1987,Antonov An-2,R102,Angolan AF,,,U1
Unknown country,11-Sep-1956,Short S.25 Sandringham 3,CX-AFA,CAUSA,,,U1
Unknown country,15-Mar-1945,Curtiss C-46A,42-107315,USAAF,,,A1
Unknown country,15-Oct-1944,Consolidated PBY-5A Catalina,A24-90,RAAF,,,A1
Unknown country,08-Feb-1956,Grumman SA-16A Albatross,51-010,USAF,,,A1
Unknown country,06-Sep-1945,Douglas C-47 (DC-3),41-18670,USAAF,,unknown,A1
Unknown country,date unk.,BN-2A Islander,9Q-CRF,Enterprise General M.Forrest,,,U1
Unknown country,12-Apr-1945,Curtiss C-46D,44-77352,USAAF,,,A1
Unknown country,03-Mar-1954,Douglas C-47D (DC-3),44-76247,USAF,,unknown,A1
Atlantic Ocean,13-Aug-1943,Short Sunderland I,DV968,"RAF, op.for RAAF",11,Bay of Bisay,C1
Atlantic Ocean,14-Jan-1944,Douglas C-47A (DC-3),42-100679,USAAF,,between Flor...,A1
Unknown country,26-Aug-1944,Douglas C-47A (DC-3),43-15128,USAAF,,Unknown,A1
Unknown country,14-Feb-1942,Consolidated PBY-5 Catalina,2309,US Navy,,,A1
Unknown country,18-Jan-1954,CASA 352 (Ju-52),T.2B-145,Spanish AF,,,U1
