Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Portugal,10-May-1957,Boeing KC-97F Stratofreighter,51-0254,USAF,0,Terceira-Laj...,A1
Finland,03-Oct-1978,Douglas C-47A (DC-3),DO-10,Finnish AF,15,near Kuopio Airpo...,A1
United Kingdom,24-Dec-1944,Douglas C-47A (DC-3),43-15035,USAAF,,Aldermaston-...,A1
Puerto Rico,13-Jun-1970,Douglas C-47A (DC-3),N1549V,Conner Air Lines,0,near San Juan-Isl...,A1
Netherlands,10-May-1940,Junkers Ju-52/3m,,German AF,,near Vlaardingen,A1
Colombia,09-Jul-1951,Douglas C-47 (DC-3),HK-126,Avianca,0,Barranquilla...,A1
USA,31-Jan-1967,Douglas DC-6A,N640NA,Saturn Airways,3,San Antonio ...,A1
Indonesia,26-Jan-1947,Consolidated PBY-5 Catalina,P-204,Dutch Navy,1,"Gillemanuk, ...",A1
United Kingdom,20-Dec-1951,Short Sunderland GR.5,RN294,RAF,0,Wig Bay,O1
USA,06-Jun-1971,Douglas C-124C Globemaster II,51-167,USAF,,Riverside-Ma...,A1
Morocco,25-Sep-1998,BAe-146-100,EC-GEO,Paukn Air,38,near Melilla Airp...,A1
Indonesia,31-Oct-2016,DHC-4T Caribou,PK-SWW,"Puncak Regency Adm., opb Alfa Indonesia",4,near Ilaga Airpor...,A1
Australia,26-Nov-1942,Consolidated PBY-5 Catalina,2407,US Navy,1,"Exmouth, WA",A1
Australia,22-Mar-2010,Embraer EMB-120ER Brasilia,VH-ANB,Airnorth,2,Darwin Airpo...,A1
France,21-Mar-2008,Boeing 737-8AS (WL),EI-DAF,Ryanair,0,Limoges-Bell...,A2
French Polynesia,23-Dec-2000,DC-10-10,N132AA,"American Airlines, op.for Hawaiian Airlines",0,Papeete-Faaa...,A2
USA,02-Jan-1949,Douglas C-47A (DC-3),NC79025,Seattle Air Charter,14,Seattle-Boei...,A1
El Salvador,??-JUN-1966,Lockheed Lodestar,,Unknown,,,A1
