Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Australia,07-Dec-2016,Boeing 737-8FE (WL),VH-VUP,Virgin Australia Airlines,0,Hobart Airpo...,A2
Ukraine,19-Feb-1987,Antonov An-26,,Soviet AF,9,near Stadnitsa,A1
Iran,19-Feb-2003,Ilyushin Il-76MD,15-2280,Iranian Revolutionary Guard,275,near Kerman,A1
Germany,11-May-1990,Transall C-160D,50+39,German AF,10,near Rodenbach,A1
Russia,04-Jan-1943,Junkers Ju-52/3m,,German AF,0,Ostrow,A1
Mexico,24-Dec-1957,Lascurain No.4 Aura,XB-ZEU,Ángel Lascuráin y Osio,2,near Mexico City ...,A1
United Kingdom,17-Oct-1950,Douglas C-47A (DC-3),G-AGIW,BEA,28,Mill Hill,A1
USA,30-Nov-1947,Douglas C-54A (DC-4),NC91009,Alaska Airlines,8+ 1,Seattle/Taco...,A1
USA,11-Jul-1980,Boeing 727,,Northwest Orient Airlines,0,Seattle/Taco...,H2
Cameroon,09-Aug-1969,Lockheed L-1049G Super Constellatio,F-BGNC,Catair,4,near Douala,A1
Cuba,10-Nov-1972,DC-9,,Southern Airways,0,Havana,H2
USA,20-Dec-1972,Convair CV-880,N8807E,Delta Air Lines,0,Chicago-O'Ha...,A1
Yemen,02-Mar-2014,Antonov An-26,1177,Yemen AF,0,near Hadhramaut,A2
Romania,14-Nov-1989,Antonov An-2R,YR-PMG,Aviatia Utilitara,,Sânmartin,A1
USA,06-Sep-1953,Lockheed L-1049 Super Constellation,N6214C,Northwest Orient Airlines,0,Tacoma-McCho...,A1
Brazil,06-Mar-1955,Douglas DC-3A,PP-YPZ,REAL,5,Vitoria da C...,A1
United Kingdom,26-Jul-1955,Handley Page Hastings C.2,WJ341,RAF,0,Abingdon RAF...,A1
Brazil,06-Sep-1963,SE-210 Caravelle VI-R,PP-PDU,Panair do Brasil,0,"Gamela, PE",A1
Mali,??-OCT-1980,Dornier Do 28D-1 Skyservant,F-BTCU,Hémet Exploration,0,"Falea, Kényé...",A1
Australia,21-Aug-1997,BN-2A-26 Islander,VH-LHA,Laynhapuy Homelands Association,0,Gan Gan Airp...,A2
Martinique,,,,,,,
Philippines,09-Feb-1947,Douglas C-47B (DC-3),44-77205,USAAF,,Manila-Nicho...,A1
USA,17-Oct-1946,Douglas C-47A (DC-3),NC38942,National Air Transport Service,13,"Laramie, WY",A1
Canada,09-Nov-2017,DHC-8-402Q Dash 8,C-GYJZ,"Air Canada Express, opb Jazz Aviation",0,Toronto City...,A2
India,03-Jun-1943,Douglas C-47 (DC-3),41-38726,USAAF,,Chabua Airfield,A1
Sweden,25-Jan-1974,SE-210 Caravelle III,OY-KRA,SAS,0,Stockholm-Ar...,O1
Canada,15-Apr-2018,Cessna 550 Citation Bravo,N4AT,Private,0,Winnipeg-Jam...,A2
Brazil,15-Aug-1997,Cessna 550 Citation II,PT-LML,Riana Táxi Aéreo,2,near Cocal do Sul...,A1
Denmark,25-Jun-1982,DC-8-62,LN-MOW,SAS,0,København-Ka...,A2
Jamaica,22-Mar-1949,Lockheed 14-08 Super Electra,CF-TCK,Kenting Aviation,0,Kingston-Pal...,A1
Indonesia,25-Oct-1948,Douglas C-47 (DC-3),HS-PC103,Pacific Overseas Airlines,,near Sumatra Island,C1
Argentina,15-Jul-1938,Douglas DC-3-228,NC18114,Pan Am,0+ 1,"Morón, BA",A1
Denmark,11-Dec-1969,Consolidated Canso A,L-853,Danish AF,1,near Gilleleje,A1
Iran,15-Feb-1991,Dassault Falcon 20F,5-9001,Iran Army,,unknown,U1
Brazil,05-Apr-1956,Douglas C-47A (DC-3),PT-YQA,REAL,0,São Paulo-Co...,A2
India,23-Aug-1943,Consolidated C-87,42-107274,USAAF,5,near Tezpur Airpo...,A1
Congo (former Zaire),06-Apr-1997,Grumman G-159 Gulfstream I,N2NC,African Commuter Services,0+ 1,Goma Airport...,A2
Colombia,29-Aug-1950,Douglas C-47 (DC-3),HK-116,Avianca,0,Barranquilla,A1
China,02-Oct-1990,Boeing 737-247,B-2510,Xiamen Airlines,82,Guangzhou-Ba...,H1
Bahamas,20-May-1976,Curtiss C-46,,Air Haiti,0,Nassau Inter...,A2
Russia,13-Aug-1976,Antonov An-2T,CCCP-23722,"Aeroflot, Magadan",0,"near Uelen, Chukotka",A1
Brazil,09-Nov-1994,Learjet 55,PT-LIG,Líder Táxi Aéreo,0,Rio de Janei...,A1
Italy,08-Oct-2001,Cessna 525A CitationJet CJ2,D-IEVX,private,4,Milano-Linat...,A1
Indonesia,07-Oct-1992,DHC-6 Twin Otter 300,PK-NUO,Merpati Nusantara,0,Ruteng-Satar...,A2
Algeria,29-Nov-1957,Nord 2501 Noratlas,26,French AF,9,near Tindouf,A1
Canada,09-Jun-2011,Cessna 208 Caravan I,C-GUYR,Air Labrador,0,Postville Ai...,A2
Italy,30-Jul-1997,ATR 42-512,F-GPYE,Air Littoral,1,Florence-Per...,A1
Philippines,13-Jun-2013,Airbus A319-111,RP-C3197,Cebu Pacific Air,0,Manila-Ninoy...,A2
Laos,05-Feb-1973,Douglas EC-47Q,43-48636,USAF,8,near Saravan,C1
Italy,14-Dec-1942,Junkers Ju 52/3m,,German AF,7,near Sicily,A1
China,06-Jun-1943,Douglas DC-3-196A,URSS-N,Hamiata,,between Tihw...,A1
Congo (former Zaire),26-May-2008,Antonov An-32B,9Q-CMG,GLBC,0,Goma Airport...,A1
United Kingdom,20-Feb-1944,Short Sunderland III,W6028,"RAF, op.for RCAF",2,"Trory Cross,...",A1
Russia,31-Dec-1970,Ilyushin Il-18V,CCCP-75773,"Aeroflot, Armenia",6,near Leningrad-Pu...,A1
Mexico,02-Aug-2008,Learjet 35A,XB-KPB,Todo Para la Aeronautica,0,Guadalajara-...,A1
Nigeria,10-Nov-1969,Douglas DC-4-1009,N480G,Pan African Airlines,,Port Harcour...,C1
Russia,15-Jul-1981,Antonov An-2T,CCCP-01883,"Aeroflot, East Siberia",0,"Kedrovy, Bod...",A1
Russia,23-Oct-1959,Ilyushin Il-14P,CCCP-41806,"Aeroflot, Azerbaijan",28,near Moskva-Vnuko...,A1
Colombia,28-May-1994,Fokker 50,PH-AVH,Avianca,0,Cúcuta-Camil...,A2
Canada,17-Jun-1984,Boeing 727-2J0,6Y-JMA,Air Jamaica,0,Toronto-Pear...,A2
Marshall Islands,18-Jan-1984,DHC-4A Caribou,66-255,US Army,,Kwajalein Ai...,U1
Russia,25-Nov-2012,Antonov An-2R,RA-33589,Aeroclub Maestro,1,Yugorsk-2 Ai...,A1
United Kingdom,05-Nov-1956,Handley Page HP.81 Hermes IVA,G-ALDJ,Britavia,7,near Blackbushe A...,A1
Congo (former Zaire),18-Nov-1999,Convair CV-580,9Q-CEJ,CAA,0,near Tshikapa,A1
Kiribati,,,,,,,
Venezuela,01-Oct-2018,Antonov An-2T,YV1719,Inversiones Moraima,0,near Uriman,A2
Philippines,14-Jul-1960,Douglas DC-7C,N292,Northwest Orient Airlines,1,near Polillo Island,A1
Ethiopia,20-Nov-1974,Douglas C-47A (DC-3),ET-AAR,Ethiopian Airlines,2,Soddu Airpor...,A1
France,31-Oct-2018,Airbus A330-323,N817NW,Delta Air Lines,0,Paris-Charle...,A2
China,16-May-2013,Harbin Yunshuji Y-12 II,B-3801,China Flying Dragon,0,near Shenyang-Tao...,A1
Russia,03-Mar-1969,Antonov An-2M,CCCP-06214,"Aeroflot, Moscow SPiMVL",2,"Rubashovka, ...",A1
Afghanistan,21-Aug-1997,Antonov An-32,,United Front Air Force,7,Bamyan Airpo...,A1
United Kingdom,30-Sep-1943,Lockheed C-60A Lodestar,42-56014,USAAF,7,Arran Island...,A1
Guatemala,19-May-2021,Hawker 800,XB-R..,private,0,"Sayaxché, Petén",U1
Chad,??-???-2008,Antonov An-12B,UP-AN208,East Wing,0,N'Djamena Ai...,A1
USA,28-Nov-1943,Consolidated PBY-5A Catalina,7261,US Navy,6,Beaufort NAS...,A1
Russia,16-Mar-1961,Tupolev Tu-104B,CCCP-42438,"Aeroflot, West Siberia",5+ 2,near Sverdlovsk-K...,A1
Russia,17-Nov-2013,Boeing 737-53A,VQ-BBN,Tatarstan,50,Kazan Intern...,A1
Ghana,05-Jun-2000,Fokker F-27 Friendship 600,G 524,Ghana Airlink,7,Accra-Kotoka...,A1
USA,01-Dec-1959,Martin 2-0-2,N174A,Allegheny Airlines,25,near Williamsport...,A1
Cuba,02-Aug-1970,Boeing 747-121,N736PA,Pan Am,0,Havana-José ...,H2
United Kingdom,30-Apr-2019,Boeing 737-33A (WL),G-GDFB,Jet2,0,East Midland...,A2
USA,03-Sep-1938,Ford 5-AT-D Tri-Motor,NC435H,Johnson Flying Service,0,"Big Prairie, MT",A1
Bulgaria,03-May-1972,DC-9-32,TC-JAB,THY,0,Sofia,H2
Ethiopia,24-Nov-1984,Boeing 707-338C,,Somali Airlines,0,Addis Ababa-...,H2
Malaysia,26-Feb-2016,IPTN/CASA CN-235M-VIP,M44-07,Royal Malaysian AF,0,near Kuala Selangor,A1
Russia,28-Oct-1970,Antonov An-12B,,Soviet AF,6,near Ivanovo-Seve...,A1
Italy,29-Oct-1948,Lockheed 14-08 Super Electra,G-AKPD,R.A. Brand & Co.,4,near Elba [Tyrrhe...,A1
USA,13-Mar-1972,Boeing KC-135A,58-0048,USAF,5,Fort Worth-C...,A1
Iraq,22-Nov-2003,Airbus A300B4-203 (F),OO-DLL,European Air Transport,0,near Baghdad Inte...,C1
Myanmar,15-Apr-1944,Douglas Dakota III (DC-3),FL569,RAF,6,Mowdock,A1
USA,25-Aug-1985,Beech 99,N300WP,Bar Harbor Airlines,8,near Auburn Airpo...,A1
USA,10-Dec-2007,Beech 200 Super King Air,N925TT,QB Corporation,2,Salmon-Lemhi...,A1
Vietnam,11-May-1953,Amiot AAC.1 (Ju-52),F-BBZL,Autrex,0,Hanoi,A1
Colombia,21-Feb-1978,Douglas C-47 (DC-3),FAC-668,Colombian AF,5,Serrania Los...,A1
China,20-Mar-1945,Consolidated C-109,44-49045,USAAF,,Kunming-Wuji...,A1
Russia,05-Mar-2011,Antonov An-148-100E,61708,VASO,6,"Garbuzovo, B...",A1
Russia,26-Dec-1960,Ilyushin Il-18A,CCCP-75651,"Aeroflot, Ulyanovsk Flight School",17,near Ulyanovsk Ai...,A1
USA,11-Feb-1998,Embraer EMB-145ER (ERJ-145ER),N14931,"Continental Express, opb ExpressJet Airlines",0,Beaumont-Jef...,A1
Cambodia,12-Sep-1973,Douglas DC-3,XW-PKD,Lane Xang Airlines,0,Kampot Airpo...,A1
Indonesia,26-May-1974,Grumman HU-16A Albatross,PB-51.,Indonesian AF,10,within Sulawesi,A1
Philippines,14-Sep-1945,Douglas Dakota IV (DC-3),KN348,RAF,,"near Lingayen, Luzon",A1
USA,11-Sep-1990,Morane Saulnier MS.760B Paris II,N23ST,Stonewall Transport,2,"near Albuquerque, NM",A1
USA,05-Jun-1969,Douglas R5D-2 (DC-4),50852,US Navy,0,China Lake N...,A1
USA,16-Dec-1960,Douglas DC-8-11,N8013U,United Airlines,84+ 6,"New York, NY",A1
Japan,27-Feb-1964,Convair CV-240-0,JA5098,Fuji Air Lines,20,Oita Airport...,A1
Panama,31-Oct-2007,Fokker F-27 Friendship 200,HP-1541PST,Air Panamá,0,Panama-Albro...,A1
USA,26-Sep-1998,Grumman HU-16C Albatross,N7025J,private,0,Sedona Airpo...,A2
Germany,24-Aug-2008,ATR 72-212A (ATR 72-500),I-ADLM,Air Dolomiti,0,München-Fran...,A2
Japan,30-Apr-1946,Curtiss C-46D,44-78339,USAAF,,Tsushima Strait,A1
India,23-Feb-1980,Fairchild C-119G Flying Boxcar,,Indian AF,46,Agra-Kheria ...,A1
Armenia,19-Apr-1983,Yakovlev Yak-40,CCCP-87291,"Aeroflot, Armenia",21,near Leninakan Ai...,A1
Iran,23-Sep-2013,Boeing 747-3B3,EP-MNE,Mahan Air,0,Kerman Inter...,A2
United Kingdom,24-Dec-1944,Douglas C-47A (DC-3),42-101024,USAAF,,Aldermaston-...,A1
Philippines,11-Jul-1982,Hawker Siddeley HS-748,RP-C1014,Philippine Air Lines,1,Jolo Airport...,A1
Malaysia,20-Dec-1950,Douglas C-47A (DC-3),A65-66,RAAF,0,Kampong Aur,A1
USA,15-Nov-2019,Cessna 560 Citation Encore,N777HW,ETG Aviation,0,San Antonio ...,A1
Japan,02-May-1964,Lockheed C-130A Hercules,56-0492,USAF,0,Ie Shima Air...,A1
USA,25-Jun-1930,Fokker F.10A,NC879E,Universal Airlines,0,"Chicago, IL",O1
Congo (former Zaire),02-Jan-2017,Let L-410UVP,9Q-CZR,Doren Air Congo,0,Shabunda Air...,A1
USA,07-Dec-1987,BAe-146-200,N350PS,PSA,43,"near Paso Robles, CA",C1
Brazil,15-Jan-1965,Douglas C-47B (DC-3),PP-SPU,VASP,,Santa Isabel...,A1
India,27-Mar-1993,Airbus A320-231,,Indian Airlines,0,Amritsar-Raj...,H2
USA,10-Nov-1958,Vickers 724 Viscount,CF-TGL,TCAL,0,New York-Idl...,O1
Brazil,06-Jun-1951,Douglas DC-3D,PP-NAL,L.A. Transcontinental Brasileira,2,"Gramacho, Ri...",A1
Lesotho,,,,,,,
Thailand,31-Mar-1956,Douglas C-47A (DC-3),L2-14/96,Thai AF,18,Korat,A1
France,12-Aug-1963,Vickers 708 Viscount,F-BGNV,Air Inter,15+ 1,near Lyon,A1
Cameroon,03-Dec-1995,Boeing 737-2K9,TJ-CBE,Cameroon Airlines,71,near Douala Airpo...,A1
New Caledonia,,,,,,,
USA,16-May-2006,Cessna 525 CitationJet,N545TG,Interstate Warehousing,0,Murfreesboro...,A2
Indonesia,25-May-1987,DHC-6 Twin Otter 100,PK-MAM,MAF,7,near Ilaga Airpor...,A1
USA,06-Mar-1944,Douglas R4D-5 (DC-3),12430,US Navy,2,"near Olathe NAS, ...",A1
United Kingdom,19-Apr-1968,Avro Shackleton MR.2,WB833,RAF,11,Glenmanuilt ...,A1
Greece,06-Jun-1949,Douglas C-47A (DC-3),SX-BAI,TAE,22,near Athens,A1
India,05-Jan-2014,Airbus A320-231,VT-ESH,Air India,0,Jaipur Inter...,A1
Russia,??-???-1973,Antonov An-24T,,Soviet AF,,Balashov,A1
Costa Rica,07-Apr-2022,Boeing 757-27A (PCF),HP-2010DAE,DHL Aero Expreso,0,San José-Jua...,A1
China,14-Jul-1944,Curtiss C-46A,42-3631,USAAF,,near Chanyi,A1
Saudi Arabia,17-Mar-1985,Boeing 737-268,,Saudi Arabian,1,Dhahran Inte...,H2
Brazil,26-Jun-1941,Sikorsky S-43,NC16928,Panagra,0,Rio de Janei...,A1
Colombia,02-Mar-1981,Douglas C-47B (DC-3),HK-2497,LANSA,0,near Anapoima,A2
USA,04-Aug-2003,Learjet 35A,N135PT,Air East Management,2,"Groton, CT",A1
Portugal,04-Jan-1945,Douglas C-54A (DC-4),42-72250,USAAF,,Terceira-Laj...,A1
Indonesia,13-Apr-2013,Boeing 737-8GP (WL),PK-LKS,Lion Air,0,Denpasar-Ngu...,A1
South Sudan,06-Dec-1971,Fokker F-27 Friendship 200,ST-AAY,Sudan Airways,10,Kapoeta,A1
Turkey,02-Feb-1969,Vickers 794D Viscount,TC-SET,THY,0,Ankara-Esenb...,A1
India,10-Jun-1944,Curtiss C-46A,42-3633,USAAF,,Sookerating ...,A1
Panama,01-Nov-1982,BN-2A Trislander Mk.III-1,HP-947,Aviones de Panama,,,U1
USA,09-Jun-1985,Beech 200 Super King Air,N148CP,Jaradac International Corp.,2,near Montgomery-O...,A1
USA,15-Jan-1987,Swearingen SA226-TC Metro II,N163SW,SkyWest Airlines,8,"Kearns, UT",A1
Netherlands,17-Sep-1944,Douglas C-47A (DC-3),42-100648,USAAF,2,Vessem,C1
India,??-???-2002,Antonov An-32,K2746,Indian AF,,Tezpur Air B...,U1
Colombia,07-Jan-1982,Boeing 727-114,HK-2637,Aerotal Colombia,0,Barranquilla...,H2
China,09-Aug-1945,Douglas C-47B (DC-3),44-76238,USAAF,,near Liangshan,A1
Germany,??-???-1941,Junkers Ju-52/3m,,German AF,,,A1
USA,21-Dec-1976,DC-8,,United Airlines,0,San Francisc...,H2
Russia,09-Jun-2019,Antonov An-2R,RA-81519,Feniks,0,"near Kyren, Tunki...",A2
United Kingdom,27-Feb-1958,Bristol 170 Freighter 21E,G-AICS,Manx Airlines,35,Winter Hill,A1
India,22-Apr-1944,Curtiss C-46A,41-24769,USAAF,,Tulihal,A1
USA,05-Aug-1948,Douglas R4D-6 (DC-3),17285,US Navy,10,"near Miami NAS, FL",A1
Hong Kong,30-Jun-1967,SE-210 Caravelle III,HS-TGI,Thai Airways International,24,near Hong Kong-Ka...,A1
Netherlands,19-Sep-1944,Douglas Dakota III (DC-3),KG374,RAF,7,Wolfheze,C1
Ukraine,20-Jun-2009,Antonov An-2,,Unknown,0,"Pologi, Zapo...",O1
USA,03-Apr-2015,Beech 300 King Air 350ER,N958ER,Beechcraft,0,Wichita-Colo...,O1
Pakistan,01-Feb-1979,Lockheed C-130B Hercules,23488,Pakistan AF,0,Lahore Airpo...,O1
Russia,28-Apr-1981,Antonov An-2TP,CCCP-92864,"Aeroflot, Yakutsk",12,near Lazo,A1
Guadeloupe,09-Sep-1971,Douglas R4D-6 (DC-3),8P-AAC,Carib West,2,near Basse-Terre,A1
Vietnam,17-Dec-1968,Fairchild C-123B Provider,54-708,USAF,14,near Chu Lai Air ...,A1
USA,07-Sep-1981,Kaiser-Frazer C-119L Flying Boxcar,N8504W,private,0,Dahl Creek A...,A1
United Kingdom,15-Jan-2015,BAe ATP-F (LFD),G-BTPC,Atlantic Airlines,0,Coventry-Bag...,A2
USA,24-Mar-2015,Cessna 208B Supervan 900,N106BZ,Private,0,"Verdigris, OK",A1
United Kingdom,14-Jun-1986,PADC/BN-2A-26 Islander,G-BMDT,Air Furness,0,Barrow-In-Fu...,A1
Netherlands,10-May-1940,Junkers Ju-52/3m,,German AF,,near Ypenburg,A1
Argentina,26-Nov-1993,DC-10-30,YV-135C,VIASA,0,Buenos Aires...,A1
Indonesia,11-Apr-2002,CASA/Nurtanio NC-212 Aviocar,PK-ZAI,Sabang Merauke Raya Air Charter,0+ 1,Sabang-Maimu...,A2
Turkey,06-Jan-1950,Douglas VC-47A (DC-3),42-93509,USAF,,Ankara,A1
Uzbekistan,15-Dec-1975,Antonov An-12B,CCCP-11005,"Aeroflot, Yakutsk",0,Fergana Airp...,A1
Netherlands,10-May-1940,Junkers Ju-52/3m,,German AF,,Valkenburg AB,A1
USA,30-Nov-2018,Cessna 550 Citation II,N941JM,Dirt Dynamics,0,Fargo-Hector...,A1
Canada,01-Nov-1996,Swearingen SA226-TC Metro II,C-FHOZ,Perimeter Airlines,0,Gods River A...,A1
USA,04-Mar-1943,Douglas C-47 (DC-3),41-18561,USAAF,,Fayetteville...,A1
United Kingdom,26-Jun-1944,Douglas C-47A (DC-3),42-100752,USAAF,,Exeter Airpo...,A1
Belgium,17-Sep-1944,Douglas C-47A (DC-3),42-24111,USAAF,2,near Retie,C1
Syria,02-Oct-1964,Douglas C-54A (DC-4),YK-ADA,Syrian Arab Airlines,0,Damascus Air...,A1
USA,30-Jan-1972,DHC-6 Twin Otter 200,N6767,Interior Airways,0,Fairbanks In...,O1
Myanmar,04-May-1945,Douglas Dakota III (DC-3),KG491,RAF,,unknown,A1
Argentina,11-Oct-1974,FMA IA 50 Guaraní II,T-113,Argentine AF,,"Cutral Có, NE",A1
Mexico,21-Feb-2021,Learjet 45XR,3912,Mexican AF,6,near Xalapa Airpo...,A1
Germany,21-Jan-1967,Douglas C-54A (DC-4),G-ASOG,Air Ferry,2,near Frankfurt-Main,A1
Philippines,12-Oct-1962,Fokker F-27 Friendship 100,PI-C503,Philippine Air Lines,3,Manila Inter...,A1
Libya,25-Aug-2011,Airbus A300B4-622R,5A-DLZ,Libyan Arab Airlines,0,Tripoli Inte...,C1
USA,??-???-1983,Douglas DC-3-382,N401JB,Swift Delivery Air Freight,0,"Honolulu, HI",O1
Namibia,28-Jun-1993,Beech 200 Super King Air,ZS-NEP,Trans Namibia Aviation,3,Aminius,A1
Canada,26-Apr-1954,DHC-3 Otter,3672,RCAF,0,Churchill Ai...,A1
Brazil,21-Sep-1959,Lockheed P-15 Neptune (P2V-5),7007,Brazilian AF,6,near Salvador Air...,A1
Greenland,09-Mar-1943,Consolidated PBY-5A Catalina,8054,US Navy,,near Narsarsuaq,A1
Brazil,21-May-2020,Embraer C-95BM Bandeirante (EMB-110,FAB2347,Brazilian AF,0,Natal Air Fo...,A2
Romania,13-Jun-1964,Lisunov Li-2P,YR-DAC,Tarom,,near Bacau Airpor...,A1
Afghanistan,19-Mar-1998,Boeing 727-228,YA-FAZ,Ariana Afghan Airlines,45,near Kabul Airpor...,A1
India,13-Jan-1945,Douglas C-47A (DC-3),42-100683,USAAF,,Ledo,A1
Ireland,06-Feb-1942,Short S.25 Sunderland,,RAF,12,near Rosann Point...,A1
Russia,07-May-1994,Tupolev Tu-134A-3,RA-65976,Aeroflot-Nord,0,Arkhangelsk ...,A1
Canada,11-Aug-1957,Douglas DC-4,CF-MCF,Maritime Central Airways,79,"near Issoudun, QC",A1
USA,20-Apr-1945,Consolidated PBY-5 Catalina,2390,US Navy,,Santa Rosa I...,A1
Russia,23-Nov-1940,Lisunov PS-84,CCCP-L3405,"Aeroflot, Georgia",4,near Ordzhonikidze,A1
Germany,05-Nov-1948,Douglas Dakota IV (DC-3),KN551,RAF,0,Berlin-R.A.F...,A1
Greece,21-Dec-1948,Douglas C-47A (DC-3),OK-WDN,CSA,24,near Pilos,A1
Germany,24-Mar-1945,Curtiss C-46D,44-77518,USAAF,,on Rhein cro...,A1
United Kingdom,04-Mar-1963,Douglas C-47A (DC-3),43-30655,USAF,0,Bentwaters R...,A1
Malaysia,16-Dec-1964,Vickers Valetta C.1,VW182,RAF,,Labuan RAF S...,A1
USA,12-Sep-2007,Cessna 525B CitationJet CJ3,N525EZ,Eli's Bread,0,Danbury Airp...,O1
Italy,22-Oct-1958,Vickers 701C Viscount,G-ANHC,BEA,31,near Anzio,A1
Brazil,18-Oct-1974,C-115 Buffalo (DHC-5),2356,Brazilian AF,2,near Rio de Janei...,A1
Russia,23-Apr-1973,Tupolev Tu-104B,CCCP-42505,"Aeroflot, Northern",2,near Leningrad-Sh...,H1
USA,01-May-2013,Airbus A330-343X,LN-RKO,SAS,0,Newark-Liber...,A2
USA,04-Mar-1953,Curtiss C-46F,N4717N,Slick Airways,2,near Windsor Lock...,A1
Nepal,12-Jul-1969,Douglas DC-3D,9N-AAP,Royal Nepal Airlines,35,near Hetauda,A1
Russia,29-Mar-1951,Ilyushin Il-12P,CCCP-L1313,"Aeroflot, Moscow",3,near Moskva-Vnuko...,A1
Vanuatu,01-Apr-2013,BN-2A-27 Islander,YJ-RV16,Air Vanuatu,0,Walaha Airpo...,A1
Russia,24-Sep-2014,Antonov An-2,RA-02322,2nd Arkhangelsk United Aviation Division,0,Shoyna Airport,A2
Iran,31-Jan-1979,Beech C-12A Huron,73-1211,USAF,5,near Isfahan,A1
USA,21-Mar-1991,Lockheed P-3C Orion,159325,US Navy,13,"near San Diego, CA",A1
Russia,06-Feb-1986,Antonov An-26B,CCCP-26095,"Aeroflot, Belarus",0,near Saransk Airp...,A1
United Kingdom,20-Mar-1969,Vickers 815 Viscount,G-AVJA,BMA,3,Manchester-R...,A1
Taiwan,07-Nov-2015,Beech 300 Super King Air 350,NA-302,NASC,0,Taichung-Chi...,A1
United Kingdom,30-Oct-1956,Short Sunderland MR.5,EJ153,RAF,0,Castle Archdale,A1
USA,01-Dec-1993,BAe 3101 Jetstream 31,N334PX,"Northwest Airlink, opb Express Airlines",18,near Hibbing-Chis...,A1
Venezuela,28-Feb-2007,Rockwell Sabreliner 75A,YV265T,Unknown,0,Valencia Air...,A1
Paraguay,21-Aug-1957,Consolidated PBY-5A Catalina,ZP-CBB,TAM Paraguay,2,near Asunción,A1
Nepal,14-Apr-2019,Let L-410UVP-E20,9N-AMH,Summit Air,1+ 2,Lukla-Tenzin...,A1
USA,26-Jul-1944,Douglas R4D-1 (DC-3),30147,US Navy,,Muscogee Cou...,U1
USA,15-May-1956,Lockheed Ventura,N64001,Crane Co.,8,near Jeffersonvil...,A1
United Kingdom,03-Jun-1966,Hawker Siddeley HS-121 Trident 1C,G-ARPY,Hawker Siddeley,4,near Felthorpe,A1
Angola,21-Nov-2003,Hawker Siddeley HS-125-403B,D2-EXR,Intertransit,0,Luanda-4 de ...,A2
Brazil,28-Nov-1943,Consolidated PBY-5A Catalina,2472,US Navy,10,"near Belém, PA",A1
Netherlands,10-May-1940,Junkers Ju-52/3m,,German AF,,Maassluis,A1
Russia,03-Aug-1979,Let L-410M,CCCP-67206,"Aeroflot, Central Region",10,near Leningrad-Rz...,A1
China,28-Jun-1945,Douglas C-47B (DC-3),43-48625,USAAF,,Peishiyi Air...,A1
China,14-Jan-1973,Ilyushin Il-14,644,CAAC,29,near Guiyang,A1
India,23-Sep-1944,Douglas C-47A (DC-3),43-15914,USAAF,,Tura,A1
USA,02-May-1989,Douglas C-47A (DC-3),N28889,Monroe County Mosquito Control,2,near Summerland K...,A1
USA,24-Jun-1969,Convair CV-880,JA8028,JAL,3,Moses Lake-G...,A1
USA,14-Sep-1944,Douglas C-47A (DC-3),42-24317,USAAF,2,near Warrensburg-...,A1
USA,31-Jul-2006,DHC-3T Texas Turbine Otter,N93356,Ward Air,0,"Berners Bay, AK",A2
Norway,07-Oct-1945,Douglas Dakota III (DC-3),KG412,RAF,0,Bardufoss Ai...,A1
Djibouti,17-Oct-1977,DHC-6 Twin Otter,,Air Djibouti,2,Tadjoura Air...,H2
Ireland,12-Aug-1946,Junkers Ju-52/3m,B-46,French AF,0,near Enniskerry,A1
Mexico,14-Sep-1973,Lockheed 18 Learstar I,N211W,Media Aviation,0,near Santa Lucía ...,A1
Canada,10-Apr-1956,U-1A Otter (DHC-3),3666,RCAF,3,near Goose Bay Ai...,A1
Colombia,07-Apr-2016,Douglas C-47A (DC-3),HK-2663,Aerolineas Llaneras - Arall,0,near Puerto Gaitá...,A1
Myanmar,31-Jan-1942,Douglas DC-2-120,DG474,RAF,0,Yangon-Minga...,C1
USA,01-Nov-1963,Douglas C-53C (DC-3),N45335,Lake Central Airlines,0,Indianapolis...,O1
U.S. Minor Outlying Islands,18-Jan-1946,Consolidated PBY-6A Catalina,64029,US Navy,0,near Wake Island,A1
Indonesia,24-Jan-1945,Douglas DC-3 (Nakajima L2D),J-BKOA,Imperial Japanese Airways,,between Denp...,A1
Papua New Guinea,08-Dec-1943,Douglas C-47A (DC-3),42-23851,USAAF,0,near Lae,A1
Ecuador,07-Nov-1960,Fairchild F-27A,HC-ADV,AREA Ecuador,37,near Quito,A1
Iran,06-Jan-1949,Douglas C-47B (DC-3),EP-ACI,Iranian Airways,,Birjand Airp...,U1
Egypt,17-Apr-2004,Airbus,,Qatar Airways,0,Cairo Intern...,H2
Philippines,26-Mar-1945,Douglas C-47B (DC-3),43-16316,USAAF,,"near Tanauan, Ley...",A1
USA,08-Apr-2014,Cessna 208B Grand Caravan,N126AR,Hageland Aviation Services,2,"near Bethel, AK",A1
Thailand,23-Sep-1999,Boeing 747-438,VH-OJH,Qantas,0,Bangkok Inte...,A2
Brazil,17-Feb-1989,Dassault Falcon 10,PT-ASJ,Serv-Jet,0,Rio de Janei...,A1
Turkey,01-Nov-1943,Douglas Dakota III (DC-3),FD829,RAF,,within Turkey,A1
Australia,19-Aug-1948,Douglas DC-3,VH-EAM,Qantas,0,Brisbane-Arc...,A2
India,05-Sep-2017,Boeing 737-8HG (WL),VT-AYB,Air India Express,0,Cochin Inter...,A2
